// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in c:\users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\9bfbb550-a91d-4e97-9ef7-405bd0690863
// command took 11.95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in c:\users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\9bfbb550-a91d-4e97-9ef7-405bd0690863
// command took 15.54s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in c:\users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\9bfbb550-a91d-4e97-9ef7-405bd0690863
// command took 4.41s and exited with 0
// ***** Done, took 00:00:32 (32.37 sec)   *****
// Found 2 benchmarks:
//   BenchMarkCompete.Array: DefaultJob
//   BenchMarkCompete.ListA: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BenchMarkCompete.Array: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9bfbb550-a91d-4e97-9ef7-405bd0690863.dll" --benchmarkName "BenchMarkDotNetComparsion.BenchMarkCompete.Array" --job "Default" --benchmarkId 0 in c:\users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\9bfbb550-a91d-4e97-9ef7-405bd0690863\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 614472.82 ns, 614.4728 us/op
WorkloadJitting  1: 1 op, 980603.81 ns, 980.6038 us/op

OverheadJitting  2: 16 op, 462769.15 ns, 28.9231 us/op
WorkloadJitting  2: 16 op, 618848.89 ns, 38.6781 us/op

WorkloadPilot    1: 16 op, 30632.47 ns, 1.9145 us/op
WorkloadPilot    2: 32 op, 45948.71 ns, 1.4359 us/op
WorkloadPilot    3: 64 op, 106848.98 ns, 1.6695 us/op
WorkloadPilot    4: 128 op, 295019.89 ns, 2.3048 us/op
WorkloadPilot    5: 256 op, 732991.32 ns, 2.8632 us/op
WorkloadPilot    6: 512 op, 1332512.58 ns, 2.6026 us/op
WorkloadPilot    7: 1024 op, 1673845.85 ns, 1.6346 us/op
WorkloadPilot    8: 2048 op, 3361549.24 ns, 1.6414 us/op
WorkloadPilot    9: 4096 op, 6878448.89 ns, 1.6793 us/op
WorkloadPilot   10: 8192 op, 14046812.25 ns, 1.7147 us/op
WorkloadPilot   11: 16384 op, 25445738.95 ns, 1.5531 us/op
WorkloadPilot   12: 32768 op, 52760788.10 ns, 1.6101 us/op
WorkloadPilot   13: 65536 op, 96631230.24 ns, 1.4745 us/op
WorkloadPilot   14: 131072 op, 189274768.91 ns, 1.4441 us/op
WorkloadPilot   15: 262144 op, 334584280.87 ns, 1.2763 us/op
WorkloadPilot   16: 524288 op, 520936565.98 ns, 993.6076 ns/op

OverheadWarmup   1: 524288 op, 941219.20 ns, 1.7952 ns/op
OverheadWarmup   2: 524288 op, 1292033.95 ns, 2.4644 ns/op
OverheadWarmup   3: 524288 op, 1021811.78 ns, 1.9490 ns/op
OverheadWarmup   4: 524288 op, 1037492.69 ns, 1.9789 ns/op
OverheadWarmup   5: 524288 op, 983521.19 ns, 1.8759 ns/op

OverheadActual   1: 524288 op, 1342723.40 ns, 2.5610 ns/op
OverheadActual   2: 524288 op, 935384.44 ns, 1.7841 ns/op
OverheadActual   3: 524288 op, 949971.34 ns, 1.8119 ns/op
