// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\370be609-4c59-4faa-85d3-bca7e155d533
// command took 2.74s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\370be609-4c59-4faa-85d3-bca7e155d533
// command took 14.48s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\370be609-4c59-4faa-85d3-bca7e155d533
// command took 3.94s and exited with 0
// ***** Done, took 00:00:21 (21.51 sec)   *****
// Found 2 benchmarks:
//   ForVsForeach.For: DefaultJob
//   ForVsForeach.Foreach: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVsForeach.For: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "370be609-4c59-4faa-85d3-bca7e155d533.dll" --benchmarkName "BenchMarkDotNetComparsion.ForVsForeach.For" --job "Default" --benchmarkId 0 in C:\Users\akumar\source\repos\BenchMarkDotNetComparsion\BenchMarkDotNetComparsion\bin\Release\netcoreapp2.2\370be609-4c59-4faa-85d3-bca7e155d533\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 408068.30 ns, 408.0683 us/op
WorkloadJitting  1: 1 op, 476991.37 ns, 476.9914 us/op

OverheadJitting  2: 16 op, 302678.01 ns, 18.9174 us/op
WorkloadJitting  2: 16 op, 1106415.75 ns, 69.1510 us/op

WorkloadPilot    1: 16 op, 544455.74 ns, 34.0285 us/op
WorkloadPilot    2: 32 op, 1253378.69 ns, 39.1681 us/op
WorkloadPilot    3: 64 op, 3296637.58 ns, 51.5100 us/op
WorkloadPilot    4: 128 op, 5762916.33 ns, 45.0228 us/op
WorkloadPilot    5: 256 op, 9505548.12 ns, 37.1310 us/op
WorkloadPilot    6: 512 op, 18526082.09 ns, 36.1838 us/op
WorkloadPilot    7: 1024 op, 34528631.88 ns, 33.7194 us/op
WorkloadPilot    8: 2048 op, 68056602.98 ns, 33.2308 us/op
WorkloadPilot    9: 4096 op, 140655928.77 ns, 34.3398 us/op
WorkloadPilot   10: 8192 op, 277766513.46 ns, 33.9070 us/op
WorkloadPilot   11: 16384 op, 548536788.87 ns, 33.4800 us/op

OverheadWarmup   1: 16384 op, 29903.13 ns, 1.8251 ns/op
OverheadWarmup   2: 16384 op, 28079.77 ns, 1.7139 ns/op
OverheadWarmup   3: 16384 op, 47042.73 ns, 2.8713 ns/op
OverheadWarmup   4: 16384 op, 49960.10 ns, 3.0493 ns/op
OverheadWarmup   5: 16384 op, 29903.13 ns, 1.8251 ns/op
OverheadWarmup   6: 16384 op, 49230.76 ns, 3.0048 ns/op
OverheadWarmup   7: 16384 op, 53971.50 ns, 3.2942 ns/op
OverheadWarmup   8: 16384 op, 49230.76 ns, 3.0048 ns/op

OverheadActual   1: 16384 op, 35737.89 ns, 2.1813 ns/op
OverheadActual   2: 16384 op, 33914.52 ns, 2.0700 ns/op
OverheadActual   3: 16384 op, 35373.21 ns, 2.1590 ns/op
OverheadActual   4: 16384 op, 33914.52 ns, 2.0700 ns/op
